id,name,height,date_of_birth,known_for_movies
nm0000382,Atom Egoyan,170,19-07-1960,
nm0033240,Aleksandr Aravin,150,29-06-1958,tt8816130
nm0033550,Enrique Arce,168,,tt6450804
nm0035018,Arjun Sarja,150,15-08-1962,tt7179784
nm0000387,Robert Englund,179,06-06-1947,
nm0035128,Swann Arlaud,150,30-11-1981,"tt6805302,tt8095860"
nm0036237,Cameron Arnett,150,14-10-1960,"tt7783966,tt8186318"
nm0036537,Lisa Arnold,168,,tt4703182
nm0000397,Corey Feldman,165,16-07-1971,
nm0036553,Mark Arnold,183,23-05-1957,tt1856101
nm0000401,Laurence Fishburne,184,30-07-1961,
nm0037575,Thomas Arslan,150,16-07-1962,tt6425734
nm0037708,Miguel Arteta,150,18-05-1905,tt6958014
nm0000407,Vivica A. Fox,170,30-07-1964,
nm0038231,Daniel Aráoz,150,,tt6386168
nm0000409,Brendan Fraser,190,03-12-1968,
nm0038355,Tadanobu Asano,179,27-11-1973,tt3501632
nm0000416,Terry Gilliam,175,22-11-1940,
nm0038690,Lorraine Ashbourne,150,07-01-1961,tt5716464
nm0000417,Crispin Glover,178,20-04-1964,
nm0039327,Mark Ashworth,178,,tt3517870
nm0000418,Danny Glover,192,22-07-1946,
nm0040010,Adam Astill,183,,tt5294550
nm0000420,Valeria Golino,170,22-10-1965,
nm0040038,Barry Atsma,150,29-12-1972,tt4610378
nm0000421,Cuba Gooding Jr.,178,02-01-1968,
nm0040630,Mark Atkins,150,,tt10238788
nm0000422,John Goodman,188,20-06-1952,
nm0040939,Yvan Attal,169,04-01-1965,tt6462462
nm0000424,Hugh Grant,180,09-09-1960,
nm0041315,Robin Aubert,150,,tt6243140
nm0000427,Pam Grier,173,26-05-1949,
nm0041528,Erik Aude,185,05-04-1980,tt5013056
nm0042768,Alexandre Avancini,150,,"tt6910020,tt10738914"
nm0000436,Curtis Hanson,185,24-03-1945,
nm0045489,Þorsteinn Bachmann,150,25-10-1965,"tt6223806,tt7358598"
nm0000437,Woody Harrelson,177,23-07-1961,
nm0046256,Livio Badurina,150,20-12-1965,"tt8028150,tt6353036"
nm0000438,Ed Harris,175,28-11-1950,
nm0047419,Miranda Bailey,200,30-01-1977,tt6547044
nm0000439,Neil Patrick Harris,183,15-06-1973,
nm0048083,Anna Banshchikova,200,24-01-1975,tt2700194
nm0000442,Rutger Hauer,187,23-01-1944,
nm0048159,Ariyon Bakare,200,24-05-1905,tt5442430
nm0000444,Glenne Headly,173,13-03-1955,
nm0048192,Edward Baker-Duly,200,30-05-1905,"tt2943946,tt8887846"
nm0000447,Marilu Henner,170,06-04-1952,
nm0048260,Betsy Baker,150,08-05-1955,tt0083907
nm0000448,Lance Henriksen,179,05-05-1940,
nm0049033,Nick Baker-Monteys,150,,tt5790534
nm0049235,Mohammad Bakri,200,27-11-1953,"tt1961175,tt6695212"
nm0000458,William Hurt,188,20-03-1950,
nm0049395,Nandamuri Balakrishna,200,10-06-1960,tt5832544
nm0000459,Timothy Hutton,183,16-08-1960,
nm0049623,Dave Bald Eagle,150,08-04-1919,tt3951908
nm0000460,Jeremy Irons,187,19-09-1948,
nm0050959,Pedro Pascal,200,02-04-1975,"tt3766354,tt4649466,tt2034800"
nm0000461,Michael Ironside,179,12-02-1950,
nm0051397,Jamie Bamber,200,03-04-1973,tt4715356
nm0000463,Famke Janssen,182,05-11-1964,
nm0051903,Claes Bang,200,28-04-1967,tt4995790
nm0000465,Ron Jeremy,171,12-03-1953,
nm0051930,Vivian Bang,200,23-10-1973,"tt7374948,tt7689950"
nm0000467,Don Johnson,175,15-12-1949,
nm0052186,Jonathan Banks,200,31-01-1947,tt2396589
nm0000473,Diane Keaton,169,05-01-1946,
nm0052600,Radu Bânzaru,200,26-04-1968,tt4048272
nm0053443,Nigel Barber,200,,tt4687410
nm0000476,Sally Kirkland,175,31-10-1941,
nm0053556,Ken Barbet,150,,tt3809960
nm0000483,Christopher Lambert,181,29-03-1957,
nm0056048,Drew Barnhardt,150,,tt4968782
nm0000487,Ang Lee,170,23-10-1954,
nm0056651,Gabriel Barragan Senties,150,,"tt5537228,tt8469890"
nm0057842,Olivier Baroux,150,05-01-1964,tt8163224
nm0000492,Jennifer Jason Leigh,160,05-02-1962,
nm0058401,Sharunas Bartas,150,16-08-1964,tt6464290
nm0000496,Juliette Lewis,168,21-06-1973,
nm0059277,Todd Bartoo,150,,tt4454834
nm0000499,Bai Ling,160,10-10-1966,
nm0060544,Ali Bastian,200,04-06-1905,tt5371408
nm0000500,Richard Linklater,175,30-07-1960,
nm0063769,Charlie Bean,150,,tt3014284
nm0000501,Ray Liotta,183,18-12-1954,
nm0065007,Demián Bichir,200,01-08-1963,tt5814060
nm0000502,Christopher Lloyd,185,22-10-1938,
nm0065638,Michael Raso,200,20-04-1964,tt6492158
nm0000504,Amy Locane,168,19-12-1971,
nm0066763,Bibiana Beglau,200,16-07-1971,tt5089068
nm0000505,Nia Long,157,30-10-1970,
nm0067457,Timur Bekmambetov,200,25-06-1961,tt7826276
nm0000507,Rob Lowe,178,17-03-1964,
nm0068042,Ashley Bell,200,,tt4513316
nm0000510,Andie MacDowell,173,21-04-1958,
nm0068187,Emma Bell,200,17-12-1986,tt2392830
nm0000511,Shirley MacLaine,170,24-04-1934,
nm0070589,Niclas Bendixen,150,,tt8713190
nm0000513,William H. Macy,173,13-03-1950,
nm0070685,Arianne Benedetti,150,,tt5870084
nm0000514,Michael Madsen,188,25-09-1957,
nm0071330,Marc Benjamin,200,15-04-1986,tt7333070
nm0000517,Terrence Malick,170,30-11-1943,
nm0072556,Laura Benson,150,,tt4949112
nm0000518,John Malkovich,183,09-12-1953,
nm0072713,Lyriq Bent,200,,tt6063050
nm0000522,Vanessa Marcil,163,15-10-1968,
nm0072829,John Eric Bentley,200,31-08-1969,tt6628394
nm0000524,Mary Stuart Masterson,163,28-06-1966,
nm0072883,Rowena Bentley,150,,"tt7715192,tt6623390"
nm0000526,Samantha Mathis,165,12-05-1970,
nm0074163,Edward Berger,150,23-05-1905,tt8811474
nm0000529,Debi Mazar,165,13-08-1964,
